yearDay,greg,heb,parasha,L01,L02,L03,L04,L05,L06,L07,L08,L09,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39
358,2026-09-11,29 Elul,Haazinu,Torah 5 + Tinyana 86 · KST § 420 (p. 261) · Aseh 229–230,ו Vav · אִ · set 17 · day 6 of 22,Chesed shebeChesed · shebeChesed · day 1 of 49,מנק · 66 of 72 · הַפִּצֵּץ 18 · שָׁלוֹם,Summer · 85 of 91 · Shov · F4 letter 16 · Eicha 4:16 · פ,"microcosm cycle 2 of 2 · day 7 of 13 · Moshe, all thirteen",Cycle 9 · day 30 of 41 · Neshamah 10 of 10 · Do Not Covet,Klal 17 · Rechilut 7 · Klal 18 · Rechilut 8 · Chofetz Chaim · 715 of 728,Haazinu · D6 · P5 · C8,set 14 · 22/28 · Causing a Loss and Reporting to Government 2–3,Torah 5 + Tinyana 86 · Zohar III 298–299,§ 420 (p. 261) · Haazinu,Lo Taaseh 7–8 · Aseh 229–230,Cover · day 1 of 364,Introduction · day 1 of 364,Zavim 3 & 4 · Week 52 · Day 1,Divrei HaYamim II 23 & 24 · Week 52 · Day 1,Tale 7 — The Fly and the Spider · cycle 28 · day 7 of 13,Likutei Etzot · Sanctity · day 358 of 369,Klal 17 · Rechilut 7 · Klal 18 · Rechilut 8 · half-days 715 & 716,Haazinu,Ben Ish Chai · Halachot,Se’if ט׳ · day 7 of 13,"יָגַעְתִּי וְלֹא מָצָאתִי אַל תַּאַמִין לֹא יָגַעְתִּי וּמָצָאתִי אַל תַּאַמִין יָגַעְתִּי וּמָצָאתִי תַּאַמִין · מגילה ו,ב",Causing a Loss and Reporting to Government 2–3,Niddah · 17a · Rosh Hashanah,Gratitude — 24/27 · Gratitude — 25/27,Story 95 · 96 · Haazinu,Chulin 134 · חֻלִּין,Class 118 · of 118,Haazinu · Day 6,Day 358 · of 369,Chapter 7 · cycle 28,The Garden of Gratitude · cycle 7 of 13,Phase 7 · day 7 of 13,Gate 19 · Gate 20 · Gate 21 · day 7 of 13,Mikvaot · Nizkei Mamon · Genevah · set 14 of 14 · day 22 of 28,Chulin 134 · review,Story 1 · Parshat Haazinu
2,2026-09-12,1 Tishrei,Haazinu,Torah 6 + Tinyana 87 · KST § 421–422 (p. 262) · Aseh 231–232,ב Bet · בא · set 1 · day 2 of 22,Gevurah shebeChesed · shebeChesed · day 2 of 49,ילי · 2 of 72 · יְדַעְיָה 2 · יְבָרֶכְךָ,Fall · 2 of 91 · Ratzo · F1 letter 2 · Eicha 1:2 · ב,1st cycle 1 · day 2 of 13 · Mi-El Kamocha,Cycle 1 · day 2 of 41 · Nefesh 2 of 10 · No Other Gods,OC 3–4 · Orach Chaim · 3 of 728,Haazinu · D7 · P5 · C8,set 1 · 2/28 · Morning Conduct 3–4 · Haazinu,Torah 6 + Tinyana 87 · Zohar I 3–4,§ 421–422 (p. 262) · Haazinu,Lo Taaseh 6–9 · Aseh 231–232,Torah Ohr · Folio 1 · day 2 of 364,Prayer 1 — first half · day 2 of 364,Brachot 3 & 4 · Week 1 · Day 2,Joshua 3 & 4 · Week 1 · Day 2,Chapter 1 · cycle 1 · day 2 of 13,Sichos HaRan · §2 of 308 · day 2 of 369,OC 3–4 · half-days 3 & 4,Haazinu,Ben Ish Chai · Drash · Ha'Azinu · Drash,Se’if ד׳ · day 2 of 13,"כָּל יִשְׂרָאֵל יֵשׁ לָהֶם חֵלֶק לְעוֹלָם הַבָּא שֶׁנֶאֱמַר וְעַמֵךְ כּוּלָם צַדִיקִים לְעוֹלָם יִירְשׁוּ אָרֶץ נֵצֶר מַטָעַי מַעֲשֵׂה יָדַי לְהִתְפָּאֵר · סנהדרין צ,א",Morning Conduct 3–4,Brachot · 1a · Rosh Hashanah,Gratitude — 24/27 · Gratitude — 25/27,Story 95 · 96 · Haazinu,Chulin 135 · חֻלִּין,Class 1 · of 118,Sefer Yetzirah · 6:6,Day 2 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 2 of 13,Gate 4 · Gate 5 · Gate 6 · day 2 of 13,Talmud Torah · Avodah Zarah · Teshuvah · set 1 of 14 · day 2 of 28,Chulin 135 · review,Story 2 · Parshat Haazinu
3,2026-09-13,2 Tishrei,Haazinu,Torah 7 + Tinyana 88 · KST § 415 (p. 258) · Aseh 233–234,ג Gimmel · גב · set 1 · day 3 of 22,Tiferet shebeChesed · shebeChesed · day 3 of 49,סיט · 3 of 72 · חָרִם 3 · יְבָרֶכְךָ,Fall · 3 of 91 · Ratzo · F1 letter 3 · Eicha 1:3 · ג,1st cycle 1 · day 3 of 13 · Mi-El Kamocha,Cycle 1 · day 3 of 41 · Nefesh 3 of 10 · Not to Profane G-d's Name,OC 5–6 · Orach Chaim · 5 of 728,Haazinu · D1 · P5 · C8,set 1 · 3/28 · Morning Conduct 5 · Morning Hand Washing 1,Torah 7 + Tinyana 88 · Zohar I 5–6,§ 415 (p. 258) · Haazinu,Lo Taaseh 10–11 · Aseh 233–234,Torah Ohr · Folio 2 · day 3 of 364,Prayer 1 — second half · day 3 of 364,Brachot 5 & 6 · Week 1 · Day 3,Joshua 5 & 6 · Week 1 · Day 3,Chapter 1 · cycle 1 · day 3 of 13,Sichos HaRan · §3 of 308 · day 3 of 369,OC 5–6 · half-days 5 & 6,Haazinu,Rav Pe’alim · Vol IV · Sod Yesharim 1 · Vol IV · Sod Yesharim 2,Se’if ה׳ · day 3 of 13,כִּי קָרוֹב אֵלֶיךָ הַדָבָר מְאֹד בְּפִיךָ וּבִּלְבָבְךָ לַעֲשׂוֹתוֹ · דברים ל:יד,Morning Conduct 5 · Morning Hand Washing 1,Brachot · 1a · Rosh Hashanah,Gratitude — 24/27 · Gratitude — 25/27,Story 95 · 96 · Haazinu,Chulin 136 · חֻלִּין,Class 2 · of 118,Haazinu · Day 1,Day 3 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 3 of 13,Gate 7 · Gate 8 · Gate 9 · day 3 of 13,"Kriat Shema · Tefilah u'Birkat Kohanim · Tefillin, Mezuzah · set 1 of 14 · day 3 of 28",Chulin 136 · review,Story 3 · Parshat Haazinu
4,2026-09-14,3 Tishrei,Haazinu,Torah 8 + Tinyana 89 · KST § 416 (p. 259) · Aseh 235–236,ד Dalet · דא · set 1 · day 4 of 22,Netzach shebeChesed · shebeChesed · day 4 of 49,עלם · 4 of 72 · שְׂעֹרִים 4 · יְבָרֶכְךָ,Fall · 4 of 91 · Ratzo · F1 letter 4 · Eicha 1:4 · ד,1st cycle 1 · day 4 of 13 · Mi-El Kamocha,Cycle 1 · day 4 of 41 · Nefesh 4 of 10 · The Sabbath,OC 7–8 · Orach Chaim · 7 of 728,Haazinu · D2 · P5 · C8,set 1 · 4/28 · Morning Hand Washing 2–3,Torah 8 + Tinyana 89 · Zohar I 7–8,§ 416 (p. 259) · Haazinu,Lo Taaseh 9–12 · Aseh 235–236,Torah Ohr · Folio 3 · day 4 of 364,Prayer 2 — first half · day 4 of 364,Brachot 7 & 8 · Week 1 · Day 4,Joshua 7 & 8 · Week 1 · Day 4,Chapter 1 · cycle 1 · day 4 of 13,Sichos HaRan · §4 of 308 · day 4 of 369,OC 7–8 · half-days 7 & 8,Haazinu,Rav Pe’alim · Vol IV · Sod Yesharim 3 · Vol IV · Sod Yesharim 4,Se’if ו׳ · day 4 of 13,וְהִנֵה ה׳ נִצָב עָלָיו וּמְלֹא כָל הָאָרֶץ כּבוֹדוֹ וּמַבִּיט עָלָיו וּבוֹחֵן כְּלָיוֹת וָלֵב אִם עוֹבְדוֹ כָּרָאוּי · תניא פרק מא,Morning Hand Washing 2–3,Brachot · 1a · Rosh Hashanah,Gratitude — 24/27 · Gratitude — 25/27,Story 95 · 96 · Haazinu,Chulin 137 · חֻלִּין,Class 3 · of 118,Haazinu · Day 2,Day 4 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 4 of 13,Gate 10 · Gate 11 · Gate 12 · day 4 of 13,Tzitzit · Berachot · Milah · set 1 of 14 · day 4 of 28,Chulin 137 · review,Story 4 · Parshat Haazinu
5,2026-09-15,4 Tishrei,Haazinu,Torah 9 + Tinyana 90 · KST § 417 (p. 259) · Aseh 237–238,ה Heh · הב · set 1 · day 5 of 22,Hod shebeChesed · shebeChesed · day 5 of 49,מהש · 5 of 72 · מַלְכִּיָּה 5 · יְבָרֶכְךָ,Fall · 5 of 91 · Ratzo · F1 letter 5 · Eicha 1:5 · ה,1st cycle 1 · day 5 of 13 · Mi-El Kamocha,Cycle 1 · day 5 of 41 · Nefesh 5 of 10 · Honor Parents,OC 9–10 · Orach Chaim · 9 of 728,Haazinu · D3 · P5 · C8,set 1 · 5/28 · Morning Hand Washing 4 · Fringes 1,Torah 9 + Tinyana 90 · Zohar I 9–10,§ 417 (p. 259) · Haazinu,Lo Taaseh 13–14 · Aseh 237–238,Torah Ohr · Folio 4 · day 5 of 364,Prayer 2 — second half · day 5 of 364,Brachot 9 &amp; Peah 1 · Week 1 · Day 5,Joshua 9 & 10 · Week 1 · Day 5,Chapter 1 · cycle 1 · day 5 of 13,Sichos HaRan · §5 of 308 · day 5 of 369,OC 9–10 · half-days 9 & 10,Haazinu,Rav Pe’alim · Vol IV · Sod Yesharim 5 · Vol IV · Sod Yesharim 6,Se’if ז׳ · day 5 of 13,בְּרֵאשִׁית בָּרָא אֶלֹקִים אֵת הַשָׁמַיִם וְאֵת הָאָרֶץ · בראשית א:א,Morning Hand Washing 4 · Fringes 1,Brachot · 1a · Rosh Hashanah,Gratitude — 24/27 · Gratitude — 25/27,Story 95 · 96 · Haazinu,Chulin 138 · חֻלִּין,Class 4 · of 118,Haazinu · Day 3,Day 5 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 5 of 13,Gate 13 · Gate 14 · Gate 15 · day 5 of 13,Shabbat · Eruvin · Shevitat Asor · set 1 of 14 · day 5 of 28,Chulin 138 · review,Story 5 · Parshat Haazinu
6,2026-09-16,5 Tishrei,Haazinu,Torah 10 + Tinyana 91 · KST § 418 (p. 260) · Aseh 239–240,ו Vav · וא · set 1 · day 6 of 22,Yesod shebeChesed · shebeChesed · day 6 of 49,ללה · 6 of 72 · מִיָּמִן 6 · יְבָרֶכְךָ,Fall · 6 of 91 · Ratzo · F1 letter 6 · Eicha 1:6 · ו,1st cycle 1 · day 6 of 13 · Mi-El Kamocha,Cycle 1 · day 6 of 41 · Nefesh 6 of 10 · Do Not Murder,OC 11–12 · Orach Chaim · 11 of 728,Haazinu · D4 · P5 · C8,set 1 · 6/28 · Fringes 2–3,Torah 10 + Tinyana 91 · Zohar I 11–12,§ 418 (p. 260) · Haazinu,Lo Taaseh 12–15 · Aseh 239–240,Torah Ohr · Folio 5 · day 6 of 364,Prayer 3 — first half · day 6 of 364,"Tosefta Brachot 1, 2, 3, 4 · Week 1 · Day 6",Joshua 11 & 12 · Week 1 · Day 6,Chapter 1 · cycle 1 · day 6 of 13,Sichos HaRan · §6 of 308 · day 6 of 369,OC 11–12 · half-days 11 & 12,Haazinu,Rav Pe’alim · Vol IV · Sod Yesharim 7 · Vol IV · Sod Yesharim 8,Se’if ח׳ · day 6 of 13,וְשִׁנַנְתָּם לְבָנֶיךָ וְדִבַּרְתָּ בָּם בְּשִׁבְתְּךָ בְּבֵיתֶךָ וּבְלֶכְתְּךָ בַדֶרֶךְ וּבְשָׁכְבְּךָ וּבְקוּמֶךָ · דברים ו:ז,Fringes 2–3,Brachot · 1a · Rosh Hashanah,Gratitude — 24/27 · Gratitude — 25/27,Story 95 · 96 · Haazinu,Chulin 139 · חֻלִּין,Class 5 · of 118,Haazinu · Day 4,Day 6 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 6 of 13,Gate 16 · Gate 17 · Gate 18 · day 6 of 13,"Shevitat Yom Tov · Chametz u'Matzah · Shofar, Sukkah v'Lul · set 1 of 14 · day 6 of 28",Chulin 139 · review,Story 6 · Parshat Haazinu
7,2026-09-17,6 Tishrei,Haazinu,Torah 11 + Tinyana 92 · KST § 419 (p. 260) · Aseh 241–242,ז Zayin · זב · set 1 · day 7 of 22,Malchut shebeChesed · shebeChesed · day 7 of 49,אכא · 7 of 72 · הַקּוֹץ 7 · יְבָרֶכְךָ,Fall · 7 of 91 · Ratzo · F1 letter 7 · Eicha 1:7 · ז,1st cycle 1 · day 7 of 13 · Mi-El Kamocha,Cycle 1 · day 7 of 41 · Nefesh 7 of 10 · Faithfulness,OC 13–14 · Orach Chaim · 13 of 728,Haazinu · D5 · P5 · C8,set 1 · 7/28 · Fringes 4–5,Torah 11 + Tinyana 92 · Zohar I 13–16,§ 419 (p. 260) · Haazinu,Lo Taaseh 16–17 · Aseh 241–242,Torah Ohr · Folio 6 · day 7 of 364,Prayer 3 — second half · day 7 of 364,"Tosefta Brachot 5, 6 &amp; Tosefta Peah 1, 2 · Week 1 · Day 7",Joshua 13 & 14 · Week 1 · Day 7,Chapter 1 · cycle 1 · day 7 of 13,Sichos HaRan · §7 of 308 · day 7 of 369,OC 13–14 · half-days 13 & 14,Haazinu,Rav Pe’alim · Vol IV · Sod Yesharim 9 · Vol IV · Sod Yesharim 10,Se’if ט׳ · day 7 of 13,"יָגַעְתִּי וְלֹא מָצָאתִי אַל תַּאַמִין לֹא יָגַעְתִּי וּמָצָאתִי אַל תַּאַמִין יָגַעְתִּי וּמָצָאתִי תַּאַמִין · מגילה ו,ב",Fringes 4–5,Brachot · 1a · Rosh Hashanah,Gratitude — 24/27 · Gratitude — 25/27,Story 95 · 96 · Haazinu,Chulin 140 · חֻלִּין,Class 6 · of 118,Haazinu · Day 5,Day 7 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 7 of 13,Gate 19 · Gate 20 · Gate 21 · day 7 of 13,Shekalim · Kiddush HaChodesh · Ta'aniyot · set 1 of 14 · day 7 of 28,Chulin 140 · review,Story 7 · Parshat Haazinu
8,2026-09-18,7 Tishrei,Haazinu,Torah 12 · KST § 420 (p. 261) · Aseh 243–244,ח Chet · חא · set 1 · day 8 of 22,Chesed shebeGevurah · shebeChesed · day 8 of 49,כהת · 8 of 72 · אֲבִיָּה 8 · יְבָרֶכְךָ,Fall · 8 of 91 · Ratzo · F1 letter 8 · Eicha 1:8 · ח,1st cycle 1 · day 8 of 13 · Mi-El Kamocha,Cycle 1 · day 8 of 41 · Nefesh 8 of 10 · Do Not Steal,OC 15–16 · Orach Chaim · 15 of 728,Haazinu · D6 · P5 · C8,set 1 · 8/28 · Fringes 6–7,Torah 12 · Zohar I 17–18,§ 420 (p. 261) · Haazinu,Lo Taaseh 15–18 · Aseh 243–244,Torah Ohr · Folio 7 · day 8 of 364,Prayer 4 — first half · day 8 of 364,Peah 2 & 3 · Week 2 · Day 1,Joshua 15 & 16 · Week 2 · Day 1,Chapter 1 · cycle 1 · day 8 of 13,Sichos HaRan · §8 of 308 · day 8 of 369,OC 15–16 · half-days 15 & 16,Haazinu,Ben Ish Chai · Halachot,Se’if י׳ · day 8 of 13,וְאָהַבְתָּ לְרֵעַךָ כָּמוֹךָ – רַבִּי עַקִיבָא אוֹמֵר זֶה כְּלָל גָדוֹל בַּתּוֹרָה · ויקרא יט:יח,Fringes 6–7,Brachot · 1a · Rosh Hashanah,Gratitude — 24/27 · Gratitude — 25/27,Story 95 · 96 · Haazinu,Chulin 141 · חֻלִּין,Class 7 · of 118,Haazinu · Day 6,Day 8 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 8 of 13,Gate 22 · Gate 23 · Gate 24 · day 8 of 13,Megillah v'Chanukah · Ishut · Geirushin · set 1 of 14 · day 8 of 28,Chulin 141 · review,Story 8 · Parshat Haazinu
9,2026-09-19,8 Tishrei,Haazinu,Torah 13 · KST § 421–422 (p. 262) · Aseh 245–246,ט Tet · טב · set 1 · day 9 of 22,Gevurah shebeGevurah · shebeChesed · day 9 of 49,הזי · 9 of 72 · יֵשׁוּעַ 9 · יְבָרֶכְךָ,Fall · 9 of 91 · Ratzo · F1 letter 9 · Eicha 1:9 · ט,1st cycle 1 · day 9 of 13 · Mi-El Kamocha,Cycle 1 · day 9 of 41 · Nefesh 9 of 10 · Truth / No False Witness,OC 17–18 · Orach Chaim · 17 of 728,Haazinu · D7 · P5 · C8,set 1 · 9/28 · Phylacteries 1–2 · Haazinu,Torah 13 · Zohar I 19–20,§ 421–422 (p. 262) · Haazinu,Lo Taaseh 19–20 · Aseh 245–246,Torah Ohr · Folio 8 · day 9 of 364,Prayer 4 — second half · day 9 of 364,Peah 4 & 5 · Week 2 · Day 2,Joshua 17 & 18 · Week 2 · Day 2,Chapter 1 · cycle 1 · day 9 of 13,Sichos HaRan · §9 of 308 · day 9 of 369,OC 17–18 · half-days 17 & 18,Haazinu,Ben Ish Chai · Drash · Ha'Azinu · Drash,Se’if י״א · day 9 of 13,וְזֶה כָּל הָאָדָם וְתַכְלִית בְּרִיאָתוֹ וּבְרִיאַת כָּל הָעוֹלָמוֹת עֶלְיוֹנִים וְתַּחְתּוֹנִים לִהְיוֹת לוֹ דִירָה זוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Phylacteries 1–2,Brachot · 1a · Rosh Hashanah,Gratitude — 24/27 · Gratitude — 25/27,Story 95 · 96 · Haazinu,Chulin 142 · חֻלִּין,Class 8 · of 118,Sefer Yetzirah · 6:6,Day 9 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 9 of 13,Gate 25 · Gate 26 · Gate 27 · day 9 of 13,Yibum v'Chalitzah · Na'arah Betulah · Sotah · set 1 of 14 · day 9 of 28,Chulin 142 · review,Story 9 · Parshat Haazinu
10,2026-09-20,9 Tishrei,Bereshit,Torah 14 · KST הסכמה · Aseh 247–248,י Yud · יא · set 1 · day 10 of 22,Tiferet shebeGevurah · shebeChesed · day 10 of 49,אלד · 10 of 72 · שְׁכַנְיָהוּ 10 · יְבָרֶכְךָ,Fall · 10 of 91 · Ratzo · F1 letter 10 · Eicha 1:10 · י,1st cycle 1 · day 10 of 13 · Mi-El Kamocha,Cycle 1 · day 10 of 41 · Nefesh 10 of 10 · Do Not Covet,OC 19–20 · Orach Chaim · 19 of 728,Bereshit · D1 · P1 · C1,set 1 · 10/28 · Phylacteries 3–4,Torah 14 · Zohar I 21–22,הסכמה · Bereshit,Lo Taaseh 18–21 · Aseh 247–248,Torah Ohr · Folio 9 · day 10 of 364,Prayer 5 — first half · day 10 of 364,Peah 6 & 7 · Week 2 · Day 3,Joshua 19 & 20 · Week 2 · Day 3,Chapter 1 · cycle 1 · day 10 of 13,Sichos HaRan · §10 of 308 · day 10 of 369,OC 19–20 · half-days 19 & 20,Bereshit,Rav Pe’alim · Vol I · Index 1 · Vol I · Index 2,Se’if י״ב · day 10 of 13,יִשְׂמַח יִשְׂרָאֵל בְּעוֹשָׂיו פֵּירוּש שֶׁכָּל מִי שֶׁהוּא מִזֶרַע יִשְׂרָאֵל יֵשׁ לוֹ לִשְׂמוֹחַ בְּשִׂמְחַת ה׳ אַשֶׁר שָׂשׂ וְשָׂמֵחַ בְּדִירָתוֹ בְּתַּחְתּוֹנִים · תניא פרק לג,Phylacteries 3–4,Brachot · 1a · Rosh Hashanah,Purim · Children,Story 1 · 2 · Bereshit,Bekhorot 2 · בְּכוֹרוֹת,Class 9 · of 118,Bereshit · Day 1,Day 10 · of 369,Chapter 1 · cycle 1,The Garden of Emuna · cycle 1 of 13,Phase 1 · day 10 of 13,Gate 28 · Gate 29 · Gate 30 · day 10 of 13,Issurei Biah · Ma'achalot Assurot · Shechitah · set 1 of 14 · day 10 of 28,Bekhorot 2 · review,Story 10 · Parshat Bereshit
